Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,Method Description,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
01/01/2025,AQS,180030015,3,5,ug/m3 LC,28,Fort Wayne- Coliseum,1,100,88101,PM2.5 - Local Conditions,636,Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.08186406,-85.08831305
01/02/2025,AQS,180030015,3,6.4,ug/m3 LC,36,Fort Wayne- Coliseum,1,100,88101,PM2.5 - Local Conditions,636,Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.08186406,-85.08831305
01/03/2025,AQS,180030015,3,7.1,ug/m3 LC,39,Fort Wayne- Coliseum,1,100,88101,PM2.5 - Local Conditions,636,Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.08186406,-85.08831305
01/04/2025,AQS,180030015,3,6.5,ug/m3 LC,36,Fort Wayne- Coliseum,1,100,88101,PM2.5 - Local Conditions,636,Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.08186406,-85.08831305
01/05/2025,AQS,180030015,3,8.1,ug/m3 LC,45,Fort Wayne- Coliseum,1,100,88101,PM2.5 - Local Conditions,636,Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.08186406,-85.08831305
01/06/2025,AQS,180030015,3,4.9,ug/m3 LC,27,Fort Wayne- Coliseum,1,100,88101,PM2.5 - Local Conditions,636,Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.08186406,-85.08831305
01/07/2025,AQS,180030015,3,3.4,ug/m3 LC,19,Fort Wayne- Coliseum,1,100,88101,PM2.5 - Local Conditions,636,Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.08186406,-85.08831305
01/08/2025,AQS,180030015,3,9.1,ug/m3 LC,51,Fort Wayne- Coliseum,1,100,88101,PM2.5 - Local Conditions,636,Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.08186406,-85.08831305
01/09/2025,AQS,180030015,3,9.7,ug/m3 LC,52,Fort Wayne- Coliseum,1,100,88101,PM2.5 - Local Conditions,636,Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.08186406,-85.08831305
01/10/2025,AQS,180030015,3,21.6,ug/m3 LC,74,Fort Wayne- Coliseum,1,100,88101,PM2.5 - Local Conditions,636,Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.08186406,-85.08831305
